1543919445	171853	515865	257247
1543919455	171873	515919	257279
1543919465	173201	519862	259243
1543919475	173857	521886	260273
1543919485	174789	524824	261652
1543919495	175109	525756	262117
1543919505	176303	529281	263842
1543919515	177751	533430	265949
1543919525	177827	533692	266083
1543919535	178784	536660	267553
1543919545	179121	537787	268063
1543919555	179935	540093	269271
1543919565	180874	543049	270680
1543919591	182109	546760	272511
1543919601	182931	549280	273825
1543919611	184332	553533	275911
1543919621	185007	555569	276960
1543919633	185035	555640	277011
1543919643	186175	559115	278679
1543919653	187585	563399	280789
1543919663	187996	564580	281341
1543919673	188615	566404	282267
1543919683	189989	570708	284391
1543919707	191486	574996	286549
1543919717	192750	578962	288513
1543919727	193858	582486	290274
1543919737	193858	582486	290274
1543919747	194933	585735	291906
1543919757	196391	590046	294070
1543919767	196812	591313	294738
1543919777	197395	593088	295640
1543919787	198881	597398	297814
1543919797	199839	600195	299202
1543919807	199904	600362	299295
1543919817	200913	603339	300729
1543919827	202192	607432	302821
1543919837	202747	609182	303700
1543919847	203073	610240	304226
1543919857	204373	614165	306136
1543919867	205706	618117	308166
1543919877	205768	618308	308253
1543919887	207010	621950	310068
1543919897	208400	626135	312159
1543919914	208783	627248	312669
1543919924	209930	630916	314418
1543919934	211364	635111	316586
1543919944	211725	636207	317140
1543919954	211725	636207	317140
1543919964	212999	639876	318942
1543919974	214397	644104	321070
1543919984	214740	645108	321593
1543919994	215466	647281	322733
1543920004	216888	651533	324899
1543920014	217701	654032	326100
1543920024	217884	654628	326397
1543920034	219343	658964	328562
1543920044	220648	663008	330555
1543920054	220648	663010	330555
1543920064	221871	666418	332329
1543920074	223280	670571	334369
1543920084	223744	671830	335016
1543920094	223853	672150	335176
1543920104	225084	675837	337024
1543920114	226417	680117	339182
1543920124	226699	680833	339509
1543920134	226867	681346	339740
1543920144	228287	685517	341873
1543920154	229584	689697	343869
1543920164	229683	690043	344019
1543920174	230943	693810	345846
1543920184	232366	698055	347955
1543920194	232673	698945	348417
1543920204	233537	701555	349738
1543920214	234978	705855	351902
1543920224	235338	706800	352395
1543920234	236207	709466	353631
1543920244	237621	713581	355810
1543920261	238196	715206	356637
1543920271	239640	719714	358878
1543920281	241027	723899	361001
1543920291	241053	724002	361053
1543920301	241185	724381	361233
1543920311	242580	728733	363456
1543920321	244035	732816	365499
1543920338	244337	733804	366002
1543920348	245520	737553	367833
1543920358	246934	741736	370006
1543920368	246968	741835	370069
1543920378	247481	743342	370819
1543920388	248891	747592	372946
1543920398	249964	750815	374496
1543920408	249964	750815	374496
1543920418	251560	755329	376686
1543920428	252952	759363	378736
1543920438	253052	759683	378928
1543920450	253052	759683	378928
1543920460	253052	759683	378928
1543920470	253052	759683	378928
1543920480	253052	759683	378928
1543920490	253052	759683	378928
1543920500	253052	759683	378928
1543920510	253052	759683	378928
1543920520	253638	761370	379833
1543920530	255116	765612	382093
1543920540	256049	768551	383522
1543920550	256123	768782	383647
1543920560	257567	773082	385738
1543920570	258963	777458	387939
1543920580	258993	777537	387980
1543920590	260108	780722	389719
1543920600	261539	784939	391791
1543920610	262000	786374	392538
1543920620	262547	788119	393449
1543920630	263965	792553	395577
1543920640	264860	795401	397033
1543920650	264860	795401	397033
1543920660	266354	799999	399308
1543920670	267765	804074	401455
1543920680	267829	804280	401567
1543920690	267914	804523	401686
1543920700	268449	806238	402523
1543920710	269797	810376	404642
1543920720	270818	813507	406177
1543920730	270818	813507	406177
1543920740	271419	815205	406969
1543920750	272842	819390	408969
1543920773	274470	824204	411277
1543920783	275805	828404	413324
